save_id,course_code,course_name,course_implementations,teachers,eval_overall,eval_methods_supported_learning,eval_study_effort,eval_workload,factors_accessibility,I estimate my own attendance percentage at,The course content and objectives corresponded to those of the course description.,I was satisfied with the practical course arrangements.,The actual teaching times correspond to the scheduled teaching times announced in Sisu.,"If you wish, you can complete your answer about the actual teaching times:",The assessment criteria for the course were clearly explained at the beginning of the course.,How would you develop the course?,Feedback I have given can be processed and a summary can be made of it even if less than 5 students have given feedback.,Teaching was,I achieved the learning outcomes set for the course.,"How could learning technology (e.g. Panopto, Presemo, Flinga) be used in this course to better support your learning?",The course engaged me to reflect on issues related to ecological sustainability.,The course engaged me to reflect on issues related to social sustainability.,How could sustainability-related topics or data be integrated in this course?,What was good about the course? Which factors in particular supported your learning?,What would you change in the course and how?,The course content and objectives corresponded to those of the course description.,How was your study motivation affected by the course?,"Compared with other courses of similar level that I have completed at the school, the course was","The course enhanced my general skills (such as teamwork skills, writing skills, problem-solving skills and a systematic working approach)."," General comments and suggestions (on such matters as course material, teaching methods, course arrangements, ways of completing the course/examinations and unnecessary overlaps with other course contents, or other matters)", I understood what I was supposed to learn in this course.," General comments and suggestions (on such matters as course material, teaching methods, course arrangements, ways of completing the course/examinations and unnecessary overlaps with other course contents, or other matters)",eval_benefit,What was good about the course? Which factors in particular supported your learning?,What needed improvement on the course? Which factors complicated your learning?,I contacted the professor when needed (eg during office hours).,"The instructor communicated well in class, eg gave clear presentations in English, answered questions and explained difficult material.",The instructor encouraged interaction in class.,The instructor gave me feedback in good time on my progress during the course.,"The course materials (eg textbook, slides, cases, other material) supported my learning.",The MyCourses online learning environment was used effectively in this course.,The course required a lot of work.,What was good about the course? Which factors in particular supported your learning?,What would you change in the course and how?,The teaching was motivating and inspiring.,The reason for attending the course:,"For another reason, which is…",Did the course meet your expectations? Comments and proposals for improvements:,In case you discontinued the course: what was the reason?,"Comments on practical arrangements (for example timetables, teaching facilities, informing policy):","Your feedback on Open University services (for example course offerings, IT systems, registration, customer service, student counselling, exam arrangements):",How likely would you recommend this course to your friends and family?,I had sufficient prior knowledge on the topic to do well on the course. ,I achieved the learning outcomes set for the course.,What worked well on the course?,How would you develop the course?,The competencies acquired during this course will be beneficial for my teaching.,I would recommend the course to my colleagues.,Any other feedback to the course organiser(s)?
95523,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
95694,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
96203,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",2,3,5,5,The lectures were accessible online,,,,,,,,,,,,,,,,,,,,,,,,4,Showing information in a clear and concise manner is an important skill,"The lecture materials being only in video format is bad, i would have gotten more from in-person lectures. The quiz questions were formulated often very poorly making them extremely hard to understand and answer correctly often we just spent the quiz sessions deciphering what was even the question or the point of the quiz. Also it seemed that the professors did not either understand their own questions or answers they were often left puzzled bu the others answer sheets and this took a considerable amount of time which was very unnecessary. Also the assignments were not fully thought through in my opinion. When working on the assignments i was often left struggling with importing libraries or stuck searching for datasets for hours with no real help available. The only link that was provided for us for help with searching for datasets was not very helpful at all a was embedded in the footnotes of the first assignment pdf with a font of about 5. This needs to be improved. The course material discussed how we need to visualize the data that we are trying to show and what techniques we can use to show even complex data but the assignments felt like they were apart of an entirely different course, information searching. I know it is an important part of information visualization also but this ballooned the workload too much. I think this needs to be improved drastically. The assignments were asking for too much and they missed the course topic entirely. They were not very enjoyable and with other courses also going on they did not do anything but raise my stress. Also the Thursday deadline was weird, it felt like there was only Monday to Thursday to work on the assignment since we had the lecture on Monday and there was often more very necessary info about the assignment instrucitons there.",,,,,,,,,,,,,,,,,,,,,,,,
96295,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",1,3,4,5,"Course material is not enough, TAs is very harsh on exercise, eg. the assignment 3 is about colors, they judged and deducted points on how we implemented the data. This is not a coding or data course. This is demotivated so much. It took so much time to analyze the data and visualize it.",,,,,,,,,,,,,,,,,,,,,,,,1,,The assignment is hard to follow,,,,,,,,,,,,,,,,,,,,,,,,
96337,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
96527,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
96620,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
96970,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,2,Flexible deadlines,,,,,,,,,,,,,,,,,,,,,,,,5,The online lectures was great,"The quizes was not great. The questions didn't have clear answers, so the only way to get them done correctly was to go the the live lectures. The lectures was way too slow, and students had to waste 1,5 to 2 hours of their time to only get the right answers to the quiz. The lectures would have been more interesting if they would have some content on top of going through 4 quiz questions.",,,,,,,,,,,,,,,,,,,,,,,,
97072,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,5,"I loved this course! The exercises were fun, engaging and interesting. The lectures were done in a good way, where I could watch them in my own time, and actually get something useful out of going to the flipped classroom sessions. I felt like the professors were actually interested in teaching and not just forcing themselves.",Maybe a set of lecture notes could be cool.,,,,,,,,,,,,,,,,,,,,,,,,
97242,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
97417,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,4,Säännölliset palautettavat tehtävät,,,,,,,,,,,,,,,,,,,,,,,,,
97555,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,more for example multiple choice questions during the course about the course areas as some of the areas are not so familiar but they still come to the exam! THe multiple choices could for example make 5-10% of the grade so not so much but still something to motivate people to do them.,,,,,,,,,,,,,,,,,,,,,,,,
97637,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,Sopiva määrä harjoitustehtäviä,Quiz kysymyksissä oli paljon tulkinnanvaraisuutta,,,,,,,,,,,,,,,,,,,,,,,,
97770,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
97780,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,i liked that i could choose programming language and datasets. it made it way more enjoyable,,,,,,,,,,,,,,,,,,,,,,,,,
97783,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,"Having the lectures recorded increases accessibility, especially for people who face obstacles in complying with the normal schedule. The various teaching methods such as practical assignments and Q&A sessions make the overall evaluation more balanced instead of solely focusing on theoretical knowledge.",,,,,,,,,,,,,,,,,,,,,,,,4,Having the lectures recorded so I could adjust my learning pace freely. Q&A sessions also helped me to clarify certain doubts.,I would recommend to shorten the time given during Q&A to read the questions since some students may have already done it previously. The time during these lectures could focus mainly on discussion or doubt clarification.,,,,,,,,,,,,,,,,,,,,,,,,
97841,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,"The lecture videos were very well made, and sensibly divided to shorter sessions by topics rather than being super long videos. It was also nice that there were other factors affecting the course grade, not just an exam.",,,,,,,,,,,,,,,,,,,,,,,,5,"The lecture videos were very good, and the examples provided on the course github were extremely helpful in both doing the exercises, and also for better understanding the discussed visualization techniques. ","I personally did not really enjoy the way that a 'flipped classroom' was implemented in this course, given how much security one loses if they have to answer the quizzes by themselves (I had an overlap on Mondays, so I did all the quizzes independently, and I must say some questions were rather difficult...). I also feel like the very last assignment was significantly more workload than the previous 2&3, so maybe for future course intances you could take something out of it, or bump up the points that it's worth to make the assignments more balanced. It's hard to say anything about the exam, as it has not occurred yet, but this feedback form closes on the same day and I have another exam then too, so I won't have time to fill this then. Perhaps for future course instances you could also have the feedback open for at least a few days after the exam, so that students would have a little time to think how they felt about it, and then answer the feedback.",,,,,,,,,,,,,,,,,,,,,,,,
97865,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
97892,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
97902,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
97933,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
97948,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,5,4,3,Lecture recordings,,,,,,,,,,,,,,,,,,,,,,,,4,Assignments were fun and made me put the stuff in lectures into use.,-,,,,,,,,,,,,,,,,,,,,,,,,
97952,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,The online lecture materials were very good!,,,,,,,,,,,,,,,,,,,,,,,,4,"The assignments did push me to try things (thematic maps, detailed editing of plots to fix some minute specs) I would probably never have tried otherwise, which I think is a good thing.","I did really not enjoy the quizes - - the questions are so ambiguous and the justifications of the answers so arbitrary, that I only attended the quiz session to get the correct solutions, and did not really even listen to the justifications because I felt that the only thing I came to learn was the lecturer's personal take's on specific questions. Furthermore, I really found it unmotivating to hear justifications for correct answers that are aching to ""the answers are the way they are because the lecturer intended the question to be interpreted in this particular way"", when, in fact, there was no clear reason to interpret the question in the sought-after way!
To this end, I completely gave up on trying to learn anything from the quizes.


Some of the home assignment descriptions were very unclear and/or vague.

Also, when it came to finding _available_ datasets relating to the UN SDGs, I want to say that, at least w.r.t. the 6th SDG there was very little open data available. The majority  of the data I came across was 'open' in the sense that they'd hand it over once I requested the data -- this is of course unacceptable since I can't wait for who knows how long to get the data, the quality and formatting of which I can only assess when I've gotten it. In short, this meant that I had do pick horrendously formatted data which I had major trouble cleaning up...",,,,,,,,,,,,,,,,,,,,,,,,
97992,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,3,Recorded lectures,,,,,,,,,,,,,,,,,,,,,,,,3,,Finding datasets was incredibly painful. Would be nice to have the option to go for your own but also to just default to something you are given,,,,,,,,,,,,,,,,,,,,,,,,
98039,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,5,4,3,The flipping classroom format.,,,,,,,,,,,,,,,,,,,,,,,,,The materials are really nice and this is a truly interesting topic.,Nothing in mind.,,,,,,,,,,,,,,,,,,,,,,,,
98088,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
98139,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
98145,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
98154,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
98156,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,1,3,The videos were awesome. And it was great that this could be done remotely,,,,,,,,,,,,,,,,,,,,,,,,5,The assignments were very hands on. The lectures were videos so that it would actually be possible to focus on these topics.,Having to find data sets for the assignments was awful and took the most  off of making the assignments. It was very annoying.,,,,,,,,,,,,,,,,,,,,,,,,
98177,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,4,2,I liked that there were no mandatory participation and that you could watch the lecture recording online. As someone with health issues this makes the course much more accessible.,,,,,,,,,,,,,,,,,,,,,,,,4,"I liked that the assignments were tasks regarding the SGDs. It was interesting topic and made the visualizations more ""grounded"" in some ways. I also prefer working project or semi-project like tasks where there is a continuity between the tasks. All the materials being online also helped.","In Assignment 3 the second task required dataset with 10+ continuous variables across 10+ timepoints. In my chosen SGD this was extremely hard and I therefore chose not to do it. It was okay in a sense that you don't fail the course if you can't find or create the dataset, but it did left somewhat bad feeling since I know I could do the visualizations. Maybe in Assignment 1 it could be noted when choosing the SGD that you need this many variables at least, or there could be some backup dataset that could be used if the chosen SGD doesn't have reasonable dataset for this specific task?",,,,,,,,,,,,,,,,,,,,,,,,
98226,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",2,3,4,2,Online recordings enhanced accessibility.,,,,,,,,,,,,,,,,,,,,,,,,4,,"I thought that the quizzes were too ambiguous, and even the teachers sometimes disagreed on what should be the answer.",,,,,,,,,,,,,,,,,,,,,,,,
98274,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
98317,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
98355,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,Grading of the assignments was done very late considering the timing. By the time of starting the 4th assignment there was yet no feedback from the previous assignments. ,,,,,,,,,,,,,,,,,,,,,,,,
98388,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,4,The topics themselves were rather interesting.,"First of all, contact lectures would be nice. It can help increasing students engagement into the course. Contact exercise sessions would also be much appreciated. I think the course should guide students, and guidance means setting some restrictions. You should, for instance, accept Python implementation of the exercises as the one and only. Then you should do a proper introductory round into Python's basics in terms of data visualizing. I also think you should restrict the choice for datasets for completing exercises. Ideally, the course staff should provide all necessary data. After all, the idea of the course is in practicing data visualization and not data search. In the future, you could provide let's say four data sets for each assignment, giving a student an opportunity to choose one of them for completion. And then when those restrictions are set, you could finally organize contact exercise sessions. In this case, TAs would know the expected outcome of each exercise, and thus could help and guide students effectively. Now the whole course just feels like do-it-yourself course. The content of the course is great, but I didn't appreciate teaching methods much.",,,,,,,,,,,,,,,,,,,,,,,,
98412,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,5,4,4,Quizzes with classes that aren't mandatory but helpful to come.,,,,,,,,,,,,,,,,,,,,,,,,4,Interesting and fun course.,"The homework sounds a bit needy, writing 3 paragraph for 2 assignments each week, but creating visualizations were fun.",,,,,,,,,,,,,,,,,,,,,,,,
98450,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,"The assignments were really good, it was a bit difficult to find a good dataset in the beginning, but the dataset I found had a lot of useful data, so I was able to utilize it for all the assignments.","The quizzes were a bit confusing if you didn't have the possibility to attend the monday sessions, some of the questions were very difficult since multiple options fit well, but only one should be picked.",,,,,,,,,,,,,,,,,,,,,,,,
98474,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
98587,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,4,Yes,,,,,,,,,,,,,,,,,,,,,,,,5,,"The setting of the quizzes could allow more try times, and the deadline of assignments could be at a better time. (Now it is usually 15:00)",,,,,,,,,,,,,,,,,,,,,,,,
98760,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
98834,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,
98850,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,I liked that the lectures were recorded and I could go through them at my own time,,,,,,,,,,,,,,,,,,,,,,,,,
98927,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,Lecture recordings were excellent and overall presentation of course material,Flipped classroom sessions need a big remake. ,,,,,,,,,,,,,,,,,,,,,,,,
98957,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
99011,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,3,Recorded video lectures were really nice.,,,,,,,,,,,,,,,,,,,,,,,,4,"Video lectures, as I wouldn't have been able to follow the lectures otherwise. The assignments were also instructive.",-,,,,,,,,,,,,,,,,,,,,,,,,
